year,tb_cases,tb_rate,pct_change,pct_change_rate,tb_death,tb_death_rate,pct_change_death,pct_change_death_rate
2021,7882,2.4,9.9,9.8,,,,
2020,7171,2.2,-19.4,-20.2,600,0.2,14.1,13.0
2019,8898,2.7,-1.1,-1.6,526,0.2,-3.0,-3.4
2018,8998,2.8,-0.8,-1.3,542,0.2,5.2,4.7
2017,9069,2.8,-1.9,-2.5,515,0.2,-2.5,-3.1
2016,9240,2.9,-3.1,-3.8,528,0.2,12.3,11.5
2015,9538,3.0,1.7,0.9,470,0.1,-4.7,-5.4
2014,9382,2.9,-1.6,-2.4,493,0.2,-11.2,-11.8
2013,9539,3.0,-3.9,-4.5,555,0.2,8.8,8.1
2012,9923,3.2,-5.3,-6.0,510,0.2,-5.4,-6.1
2011,10474,3.4,-5.4,-6.1,539,0.2,-5.3,-6.0
2010,11071,3.6,-3.7,-4.5,569,0.2,7.6,6.7
2009,11494,3.7,-11.2,-12.0,529,0.2,-9.6,-10.4
2008,12943,4.3,-2.5,-3.4,585,0.2,5.6,4.6
2007,13274,4.4,-3.3,-4.2,554,0.2,-15.0,-15.8
2006,13720,4.6,-2.4,-3.3,652,0.2,0.6,-0.3
2005,14053,4.8,-3.1,-4.0,648,0.2,-1.4,-2.3
2004,14498,5.0,-2.3,-3.2,657,0.2,-7.6,-8.4
2003,14832,5.1,-1.5,-2.3,711,0.2,-9.3,-10.1
2002,15054,5.2,-5.6,-6.4,784,0.3,2.6,1.7
2001,15943,5.6,-2.2,-3.2,764,0.3,-1.5,-2.5
2000,16306,5.8,-6.8,-7.8,776,0.3,-16.6,-17.5
1999,17493,6.3,-4.3,-5.4,930,0.3,-16.4,-17.3
1998,18288,6.6,-7.4,-8.5,1112,0.4,-4.6,-5.7
1997,19753,7.2,-6.9,-8.0,1166,0.4,-3.0,-4.2
1996,21212,7.9,-6.7,-7.7,1202,0.4,-10.0,-11.1
1995,22727,8.5,-6.1,-7.2,1336,0.5,-9.6,-10.7
1994,24207,9.2,-3.6,-4.8,1478,0.6,-9.4,-10.5
1993,25105,9.7,-5.9,-7.1,1631,0.6,-4.3,-5.6
1992,26673,10.4,1.5,0.1,1705,0.7,-0.5,-1.8
1991,26283,10.4,2.3,0.9,1713,0.7,-5.4,-6.6
1990,25701,10.3,9.4,8.2,1810,0.7,-8.1,-9.2
1989,23495,9.5,4.7,3.7,1970,0.8,2.6,1.6
1988,22436,9.2,-0.4,-1.3,1921,0.8,9.5,8.5
1987,22517,9.3,-1.1,-2.0,1755,0.7,-1.5,-2.4
1986,22768,9.5,2.6,1.6,1782,0.7,1.7,0.8
1985,22201,9.3,-0.2,-1.1,1752,0.7,1.3,0.4
1984,22255,9.4,-6.7,-7.5,1729,0.7,-2.8,-3.6
1983,23846,10.2,-6.6,-7.4,1779,0.8,-1.5,-2.4
1982,25520,11.0,-6.8,-7.7,1807,0.8,-6.7,-7.6
1981,27373,11.9,-1.4,-2.3,1937,0.8,-2.1,-3.0
1980,27749,12.2,0.3,-0.7,1978,0.9,-1.4,-3.3
1979,27669,12.3,-3.0,-3.9,2007,0.9,-31.1,-30.8
1978,28521,12.8,-5.4,-6.6,2914,1.3,-1.8,-7.1
1977,30145,13.7,-6.1,-6.8,2968,1.4,-5.2,-6.7
1976,32105,14.7,-5.5,-6.4,3130,1.5,-6.1,-6.3
1975,33989,15.7,,,3333,1.6,-5.1,-5.9
1974,30122,14.1,-2.8,-3.4,3513,1.7,-9.3,-5.6
1973,30998,14.6,-5.7,-7.0,3875,1.8,-11.4,-14.5
1972,32882,15.7,-6.6,-7.6,4376,2.1,-2.8,-4.5
1971,35217,17.0,-5.2,-6.1,4501,2.2,-13.7,-15.4
1970,37137,18.1,-5.1,-6.2,5217,2.6,-6.3,-7.1
1969,39120,19.3,-8.2,-9.0,5567,2.8,-11.5,-9.7
1968,42623,21.2,-6.6,-7.8,6292,3.1,-8.8,-11.4
1967,45647,23.0,-4.4,-5.3,6901,3.5,-9.5,-10.3
1966,47767,24.3,-2.5,-3.6,7625,3.9,-3.9,-4.9
1965,49016,25.2,-3.7,-4.9,7934,4.1,-4.4,-4.7
1964,50874,26.5,-5.9,-7.3,8303,4.3,-10.8,-12.2
1963,54042,28.6,1.4,0.0,9311,4.9,-2.1,-3.9
1962,53315,28.6,-0.8,-2.1,9506,5.1,-4.3,-5.6
1961,53726,29.2,-3.2,-4.9,9938,5.4,-8.5,-10.0
1960,55494,30.7,-3.5,-5.2,10866,6.0,-5.3,-7.7
1959,57535,32.4,-9.4,-10.7,11474,6.5,-7.6,-8.5
1958,63534,36.3,-5.4,-6.9,12417,7.1,-7.3,-9.0
1957,67149,39.0,-3.9,-5.8,13390,7.8,-5.3,-7.1
1956,69895,41.4,-9.7,-11.1,14137,8.4,-5.9,-7.7
1955,77368,46.6,-3.0,-4.7,15016,9.1,-9.1,-10.8
1954,79775,48.9,-5.4,-7.0,16527,10.2,-16.1,-17.7
1953,84304,52.6,,,19707,12.4,,